,combinations,alpha,epsilon,gamma,i_max,mean_score,median_score
19,"(0.1, 0.1, 0.9, 2000)",0.1,0.1,0.9,2000,"[1.015000e+00 2.980000e+00 4.330000e+00 3.422000e+01 4.759500e+01
 4.228500e+01 5.380250e+02 1.097360e+03 1.637635e+03 1.771655e+03
 1.970175e+03 1.723835e+03 1.470600e+03 2.000000e+03 2.000000e+03]","[6.50000e-01 2.40000e+00 3.15000e+00 2.04000e+01 2.82000e+01 2.97000e+01
 5.11950e+02 1.06505e+03 1.62810e+03 1.83160e+03 2.00000e+03 1.71510e+03
 1.44835e+03 2.00000e+03 2.00000e+03]"
20,"(0.1, 0.1, 0.9, 2500)",0.1,0.1,0.9,2500,"[4.650000e-01 1.355000e+00 3.560000e+00 6.990000e+00 7.965000e+00
 2.139900e+02 2.439400e+02 1.061020e+03 1.410970e+03 1.575000e+03
 1.581335e+03 1.837885e+03 1.412245e+03 1.444020e+03 1.830980e+03]","[1.00000e-01 1.05000e+00 2.55000e+00 5.20000e+00 5.60000e+00 2.11250e+02
 2.32850e+02 1.04285e+03 1.41905e+03 1.63615e+03 1.62450e+03 1.82575e+03
 1.37340e+03 1.43475e+03 1.82550e+03]"
21,"(0.1, 0.1, 1, 1500)",0.1,0.1,1.0,1500,"[6.050000e-01 2.675000e+00 5.230000e+00 2.478000e+01 1.100500e+01
 6.262000e+01 4.530100e+02 8.785350e+02 1.401300e+03 1.495610e+03
 1.570685e+03 1.558315e+03 1.545750e+03 1.528905e+03 1.535810e+03]","[3.00000e-01 2.10000e+00 3.60000e+00 2.06000e+01 7.10000e+00 4.75000e+01
 4.34650e+02 8.67650e+02 1.43215e+03 1.47445e+03 1.54525e+03 1.56000e+03
 1.51950e+03 1.48775e+03 1.53835e+03]"
22,"(0.1, 0.1, 1, 2000)",0.1,0.1,1.0,2000,"[9.350000e-01 2.690000e+00 5.770000e+00 2.058200e+02 1.845350e+02
 4.743100e+02 5.251300e+02 1.102905e+03 1.452915e+03 1.409135e+03
 1.116740e+03 1.422180e+03 1.267920e+03 1.266130e+03 1.257280e+03]","[6.00000e-01 1.95000e+00 3.85000e+00 2.04400e+02 2.06350e+02 4.68050e+02
 5.08900e+02 1.07445e+03 1.46010e+03 1.34250e+03 1.08175e+03 1.41795e+03
 1.23840e+03 1.24985e+03 1.24055e+03]"
23,"(0.1, 0.1, 1, 2500)",0.1,0.1,1.0,2500,"[8.350000e-01 3.080000e+00 3.285000e+00 7.290000e+00 1.688000e+01
 7.525500e+01 4.031600e+02 1.154140e+03 1.349065e+03 1.633430e+03
 1.358880e+03 1.525600e+03 1.613885e+03 1.488755e+03 1.479085e+03]","[5.00000e-01 2.10000e+00 2.15000e+00 4.80000e+00 1.25500e+01 6.56500e+01
 4.33250e+02 1.10485e+03 1.29830e+03 1.61705e+03 1.31115e+03 1.51125e+03
 1.61045e+03 1.46045e+03 1.46060e+03]"
24,"(0.2, 0.05, 0.9, 1500)",0.2,0.05,0.9,1500,"[5.350000e-01 1.685000e+00 4.225000e+00 1.122500e+01 1.347700e+02
 8.241600e+02 1.352510e+03 1.803280e+03 1.816615e+03 1.674625e+03
 1.758760e+03 2.000000e+03 2.000000e+03 2.000000e+03 1.990145e+03]","[3.00000e-01 1.10000e+00 2.85000e+00 7.25000e+00 1.42750e+02 8.18450e+02
 1.30500e+03 1.80205e+03 1.81245e+03 1.66445e+03 1.81580e+03 2.00000e+03
 2.00000e+03 2.00000e+03 2.00000e+03]"
25,"(0.2, 0.05, 0.9, 2000)",0.2,0.05,0.9,2000,"[4.500000e-01 1.870000e+00 4.470000e+00 1.584500e+01 2.021000e+01
 5.073750e+02 1.017480e+03 1.506285e+03 1.661715e+03 1.923545e+03
 1.623720e+03 1.861935e+03 1.642200e+03 2.000000e+03 2.000000e+03]","[2.00000e-01 1.35000e+00 3.20000e+00 1.13000e+01 1.50500e+01 5.08850e+02
 9.69800e+02 1.49130e+03 1.65110e+03 1.93270e+03 1.61705e+03 1.85010e+03
 1.68015e+03 2.00000e+03 2.00000e+03]"
26,"(0.2, 0.05, 0.9, 2500)",0.2,0.05,0.9,2500,"[6.000000e-01 3.225000e+00 5.545000e+00 8.980000e+00 3.989500e+01
 6.327950e+02 9.539200e+02 2.000000e+03 1.706230e+03 1.395070e+03
 1.607770e+03 1.952210e+03 1.755555e+03 1.960345e+03 1.990035e+03]","[4.0000e-01 2.1500e+00 4.3500e+00 6.5000e+00 2.8900e+01 6.2290e+02
 9.1155e+02 2.0000e+03 1.6816e+03 1.4000e+03 1.6420e+03 2.0000e+03
 1.7678e+03 2.0000e+03 2.0000e+03]"
27,"(0.2, 0.05, 1, 1500)",0.2,0.05,1.0,1500,"[1.105000e+00 3.980000e+00 6.940000e+00 1.944500e+01 1.801500e+01
 6.634550e+02 1.177775e+03 1.579820e+03 1.764235e+03 1.620695e+03
 1.239595e+03 1.448090e+03 1.438165e+03 1.462190e+03 1.443390e+03]","[9.50000e-01 2.90000e+00 5.45000e+00 1.24000e+01 1.17500e+01 6.45650e+02
 1.20445e+03 1.63455e+03 1.81655e+03 1.61320e+03 1.24600e+03 1.44510e+03
 1.42355e+03 1.44550e+03 1.42815e+03]"
28,"(0.2, 0.05, 1, 2000)",0.2,0.05,1.0,2000,"[4.750000e-01 1.435000e+00 3.475000e+00 8.575000e+00 3.431500e+01
 5.162500e+02 1.225285e+03 1.537140e+03 1.633335e+03 1.790045e+03
 1.483685e+03 1.312860e+03 1.481210e+03 1.473050e+03 1.478465e+03]","[2.00000e-01 1.00000e+00 2.20000e+00 5.95000e+00 2.73500e+01 4.75100e+02
 1.21560e+03 1.50570e+03 1.66300e+03 1.82370e+03 1.44860e+03 1.28040e+03
 1.46045e+03 1.44755e+03 1.45775e+03]"
29,"(0.2, 0.05, 1, 2500)",0.2,0.05,1.0,2500,"[9.400000e-01 2.305000e+00 6.680000e+00 8.110000e+00 9.750000e+00
 3.998850e+02 9.129200e+02 1.599760e+03 1.527805e+03 1.518505e+03
 1.802110e+03 1.401165e+03 1.717190e+03 1.600895e+03 1.614210e+03]","[5.00000e-01 1.70000e+00 5.20000e+00 5.50000e+00 7.80000e+00 3.69050e+02
 8.84000e+02 1.62725e+03 1.50085e+03 1.48295e+03 1.80100e+03 1.43945e+03
 1.80120e+03 1.60680e+03 1.60815e+03]"
30,"(0.2, 0.1, 0.9, 1500)",0.2,0.1,0.9,1500,"[5.450000e-01 2.635000e+00 4.425000e+00 1.118500e+01 1.682000e+01
 2.449450e+02 9.736250e+02 1.488515e+03 1.510065e+03 1.417365e+03
 1.980210e+03 2.000000e+03 2.000000e+03 2.000000e+03 2.000000e+03]","[1.00000e-01 2.05000e+00 3.05000e+00 7.95000e+00 1.20000e+01 2.30800e+02
 1.01100e+03 1.45985e+03 1.47740e+03 1.49860e+03 2.00000e+03 2.00000e+03
 2.00000e+03 2.00000e+03 2.00000e+03]"
31,"(0.2, 0.1, 0.9, 2000)",0.2,0.1,0.9,2000,"[4.200000e-01 1.330000e+00 3.635000e+00 8.850000e+00 1.885250e+02
 4.224950e+02 3.706100e+02 1.349685e+03 1.613310e+03 1.444515e+03
 1.556045e+03 1.682715e+03 1.635135e+03 1.812405e+03 2.000000e+03]","[2.00000e-01 9.00000e-01 2.75000e+00 6.05000e+00 2.06500e+02 4.17500e+02
 3.54800e+02 1.43300e+03 1.61900e+03 1.43995e+03 1.61400e+03 1.65525e+03
 1.62175e+03 1.80980e+03 2.00000e+03]"
32,"(0.2, 0.1, 0.9, 2500)",0.2,0.1,0.9,2500,"[5.350000e-01 2.165000e+00 3.610000e+00 9.830000e+00 2.136500e+01
 7.681500e+01 6.388150e+02 1.294545e+03 1.455055e+03 1.879215e+03
 1.758215e+03 1.302085e+03 1.707860e+03 1.801140e+03 2.000000e+03]","[3.00000e-01 1.60000e+00 2.40000e+00 7.15000e+00 1.69500e+01 4.37000e+01
 5.64250e+02 1.26580e+03 1.44540e+03 1.89115e+03 1.77755e+03 1.32380e+03
 1.72575e+03 1.80825e+03 2.00000e+03]"
33,"(0.2, 0.1, 1, 1500)",0.2,0.1,1.0,1500,"[5.100000e-01 3.930000e+00 8.705000e+00 8.920000e+00 1.980000e+01
 7.064500e+02 1.281565e+03 1.191980e+03 1.616200e+03 1.356400e+03
 1.606960e+03 1.662615e+03 1.654665e+03 1.650700e+03 1.645500e+03]","[2.00000e-01 2.75000e+00 5.95000e+00 5.90000e+00 1.88500e+01 6.74700e+02
 1.27580e+03 1.12040e+03 1.58925e+03 1.32925e+03 1.62835e+03 1.63560e+03
 1.62590e+03 1.64115e+03 1.63730e+03]"
34,"(0.2, 0.1, 1, 2000)",0.2,0.1,1.0,2000,"[9.40000e-01 2.30500e+00 3.78500e+00 5.29000e+00 8.43500e+00 6.92360e+02
 6.88375e+02 1.62278e+03 1.75601e+03 1.92814e+03 1.83338e+03 1.94727e+03
 2.00000e+03 2.00000e+03 2.00000e+03]","[7.00000e-01 1.65000e+00 2.60000e+00 3.60000e+00 6.20000e+00 6.66050e+02
 6.78400e+02 1.69420e+03 1.80225e+03 2.00000e+03 1.81695e+03 1.98785e+03
 2.00000e+03 2.00000e+03 2.00000e+03]"
35,"(0.2, 0.1, 1, 2500)",0.2,0.1,1.0,2500,"[6.250000e-01 2.280000e+00 5.200000e+00 1.450000e+01 1.754500e+01
 5.399300e+02 9.627100e+02 1.306360e+03 1.665085e+03 1.521535e+03
 1.970260e+03 1.883080e+03 1.684205e+03 1.877045e+03 1.915415e+03]","[4.50000e-01 1.50000e+00 3.50000e+00 1.12000e+01 1.18000e+01 4.91600e+02
 9.31700e+02 1.26800e+03 1.64400e+03 1.49175e+03 2.00000e+03 1.87170e+03
 1.75345e+03 1.92160e+03 1.91405e+03]"
