,combinations,alpha,epsilon,gamma,i_max,mean_score,median_score
11,"(0.2, 0.1, 1, 2000)",0.2,0.1,1.0,2000,"[2.30000e-01 1.57000e+00 4.11000e+00 3.93000e+00 7.14000e+00 2.31390e+02
 7.08970e+02 1.32791e+03 1.26429e+03 1.78517e+03 1.48449e+03 1.43885e+03
 1.64238e+03 1.76574e+03 1.81126e+03]","[1.50000e-01 1.20000e+00 3.15000e+00 3.00000e+00 5.45000e+00 2.19350e+02
 6.83600e+02 1.25470e+03 1.23860e+03 1.80485e+03 1.47070e+03 1.43510e+03
 1.64170e+03 1.80350e+03 1.81020e+03]"
12,"(0.4666666666666667, 0.01, 0.8, 1500)",0.4666666666666667,0.01,0.8,1500,"[7.80000e-01 1.10000e+00 2.55000e+00 7.95000e+00 1.50100e+01 2.43480e+02
 7.86080e+02 1.69390e+03 1.60385e+03 1.87304e+03 1.80174e+03 1.80255e+03
 1.80120e+03 1.80095e+03 1.80115e+03]","[5.00000e-01 4.50000e-01 1.70000e+00 4.70000e+00 1.24000e+01 2.23900e+02
 7.69250e+02 1.80360e+03 1.60210e+03 1.84240e+03 1.80140e+03 1.80170e+03
 1.80100e+03 1.80095e+03 1.80100e+03]"
13,"(0.4666666666666667, 0.01, 0.8, 2000)",0.4666666666666667,0.01,0.8,2000,"[6.20000e-01 2.05000e+00 2.82000e+00 1.70500e+01 1.47100e+01 9.93680e+02
 9.19130e+02 1.70427e+03 1.70969e+03 1.81742e+03 1.82235e+03 1.80363e+03
 1.80497e+03 1.80511e+03 1.80453e+03]","[3.00000e-01 1.25000e+00 2.00000e+00 1.04000e+01 1.15000e+01 1.05005e+03
 9.24350e+02 1.78555e+03 1.82120e+03 1.81350e+03 1.81535e+03 1.80200e+03
 1.80385e+03 1.80375e+03 1.80475e+03]"
14,"(0.4666666666666667, 0.01, 0.9, 1500)",0.4666666666666667,0.01,0.9,1500,"[7.90000e-01 1.01400e+01 3.64800e+01 3.52500e+01 5.26810e+02 1.01006e+03
 2.00000e+03 1.82079e+03 2.00000e+03 1.60627e+03 1.65528e+03 2.00000e+03
 2.00000e+03 2.00000e+03 2.00000e+03]","[7.00000e-01 7.80000e+00 2.90000e+01 2.66500e+01 6.13800e+02 1.00695e+03
 2.00000e+03 1.81755e+03 2.00000e+03 1.62310e+03 1.62945e+03 2.00000e+03
 2.00000e+03 2.00000e+03 2.00000e+03]"
15,"(0.4666666666666667, 0.01, 0.9, 2000)",0.4666666666666667,0.01,0.9,2000,"[4.30000e-01 1.62000e+00 7.07000e+00 2.04650e+02 9.04900e+01 1.41283e+03
 1.53399e+03 1.63710e+03 1.96508e+03 1.14193e+03 1.29867e+03 1.82565e+03
 1.92084e+03 1.93320e+03 2.00000e+03]","[3.50000e-01 1.25000e+00 4.40000e+00 2.15650e+02 8.20000e+01 1.41025e+03
 1.49840e+03 1.65370e+03 2.00000e+03 1.09815e+03 1.39495e+03 1.81690e+03
 2.00000e+03 1.92615e+03 2.00000e+03]"
16,"(0.4666666666666667, 0.01, 1, 1500)",0.4666666666666667,0.01,1.0,1500,"[6.70000e-01 2.92000e+00 5.88000e+00 3.96400e+01 1.98440e+02 1.46499e+03
 1.21665e+03 1.11830e+03 9.95870e+02 2.97780e+02 7.44720e+02 7.18390e+02
 6.80560e+02 6.94190e+02 7.07780e+02]","[2.50000e-01 2.40000e+00 4.65000e+00 3.09500e+01 2.25500e+02 1.43560e+03
 1.23800e+03 1.07695e+03 1.01400e+03 2.65250e+02 7.26100e+02 6.92200e+02
 6.54650e+02 6.55850e+02 6.52100e+02]"
17,"(0.4666666666666667, 0.01, 1, 2000)",0.4666666666666667,0.01,1.0,2000,"[6.60000e-01 1.66000e+00 8.93000e+00 2.90800e+01 1.57420e+02 8.25890e+02
 8.40410e+02 1.54429e+03 6.35370e+02 8.77640e+02 9.84790e+02 1.07079e+03
 1.35350e+02 5.49560e+02 5.25840e+02]","[4.00000e-01 1.20000e+00 5.95000e+00 1.91000e+01 1.83550e+02 8.67900e+02
 8.30150e+02 1.53010e+03 6.66350e+02 8.65200e+02 1.05180e+03 1.06765e+03
 8.24500e+01 6.33650e+02 5.71850e+02]"
18,"(0.4666666666666667, 0.1, 0.8, 1500)",0.4666666666666667,0.1,0.8,1500,"[2.80000e-01 7.30000e-01 2.25000e+00 2.96000e+00 4.33000e+00 3.33400e+01
 6.75890e+02 1.04366e+03 1.47808e+03 1.11429e+03 1.23292e+03 1.81588e+03
 2.00000e+03 1.98011e+03 2.00000e+03]","[5.00000e-02 5.50000e-01 1.80000e+00 2.55000e+00 2.95000e+00 2.89000e+01
 7.01250e+02 1.01780e+03 1.51285e+03 1.08810e+03 1.26575e+03 1.81445e+03
 2.00000e+03 2.00000e+03 2.00000e+03]"
19,"(0.4666666666666667, 0.1, 0.8, 2000)",0.4666666666666667,0.1,0.8,2000,"[4.00000e-01 1.87000e+00 2.97000e+00 8.35000e+00 5.51000e+00 2.99300e+01
 4.05360e+02 8.75000e+02 1.35033e+03 1.18742e+03 1.60896e+03 1.18378e+03
 1.12981e+03 2.00000e+03 2.00000e+03]","[2.00000e-01 1.80000e+00 2.10000e+00 6.70000e+00 4.15000e+00 2.22000e+01
 4.13450e+02 8.66650e+02 1.37560e+03 1.19835e+03 1.60585e+03 1.19950e+03
 1.12915e+03 2.00000e+03 2.00000e+03]"
20,"(0.4666666666666667, 0.1, 0.9, 1500)",0.4666666666666667,0.1,0.9,1500,"[5.40000e-01 1.76000e+00 3.06000e+00 5.41000e+00 1.14800e+01 1.40030e+02
 6.52830e+02 1.42446e+03 8.27140e+02 1.22528e+03 1.10840e+03 1.80403e+03
 2.00000e+03 2.00000e+03 2.00000e+03]","[2.50000e-01 1.50000e+00 1.95000e+00 4.10000e+00 9.50000e+00 5.96500e+01
 6.89500e+02 1.45250e+03 8.96050e+02 1.23450e+03 1.11630e+03 1.80325e+03
 2.00000e+03 2.00000e+03 2.00000e+03]"
21,"(0.4666666666666667, 0.1, 0.9, 2000)",0.4666666666666667,0.1,0.9,2000,"[5.70000e-01 1.26000e+00 3.27000e+00 6.67000e+00 1.03000e+01 3.20370e+02
 4.60920e+02 5.07170e+02 8.60620e+02 1.24172e+03 1.42478e+03 8.35760e+02
 1.43449e+03 1.83566e+03 2.00000e+03]","[3.00000e-01 9.50000e-01 2.50000e+00 3.70000e+00 8.75000e+00 2.82500e+02
 4.58850e+02 5.26100e+02 8.44550e+02 1.41290e+03 1.45165e+03 8.41800e+02
 1.42425e+03 1.83130e+03 2.00000e+03]"
